City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quatre Cocos,MU,2021-05-25 22:31:46,-20.2078,57.7625,71.71,76,19,9.13
1,Kudahuvadhoo,MV,2021-05-25 22:35:28,2.6708,72.8944,84.18,71,99,21.79
2,Mataura,NZ,2021-05-25 22:35:28,-46.1927,168.8643,43.05,52,92,2.73
3,Port Hardy,CA,2021-05-25 22:35:29,50.6996,-127.4199,53.78,71,90,8.05
4,Barrow,US,2021-05-25 22:33:15,71.2906,-156.7887,26.62,86,90,6.91
5,Erzin,TR,2021-05-25 22:35:30,36.9559,36.2,72.32,68,0,2.37
6,Vaini,TO,2021-05-25 22:35:30,-21.2,-175.2,69.96,94,90,4.61
7,Jumla,NP,2021-05-25 22:35:31,29.2747,82.1838,52.72,89,98,3.13
8,Medea,DZ,2021-05-25 22:33:16,36.2642,2.7539,55.85,55,95,4.29
9,Georgetown,MY,2021-05-25 22:31:42,5.4112,100.3354,82.89,83,20,3.0
10,Yellowknife,CA,2021-05-25 22:35:32,62.456,-114.3525,47.28,39,20,5.99
11,Rikitea,PF,2021-05-25 22:35:32,-23.1203,-134.9692,77.2,79,62,13.73
12,Jamestown,US,2021-05-25 22:30:41,42.097,-79.2353,83.52,47,20,13.8
13,Constitucion,CL,2021-05-25 22:35:33,-35.3333,-72.4167,56.07,81,97,9.1
14,Palm Coast,US,2021-05-25 22:32:45,29.585,-81.2078,86.22,64,1,8.01
15,Cabra,ES,2021-05-25 22:35:30,37.4725,-4.4421,65.5,52,3,7.29
16,Thompson,CA,2021-05-25 22:35:34,55.7435,-97.8558,28.56,80,90,14.97
17,Ulaanbaatar,MN,2021-05-25 22:35:35,47.9077,106.8832,37.53,81,20,3.38
18,Qaanaaq,GL,2021-05-25 22:35:35,77.484,-69.3632,32.65,77,8,5.28
19,Raudeberg,NO,2021-05-25 22:35:36,61.9875,5.1352,52.47,82,100,13.2
20,Tasiilaq,GL,2021-05-25 22:30:44,65.6145,-37.6368,37.56,90,100,44.13
21,Bambous Virieux,MU,2021-05-25 22:35:36,-20.3428,57.7575,71.85,88,20,9.28
22,Airai,TL,2021-05-25 22:35:37,-8.9266,125.4092,61.63,83,24,4.12
23,Kapaa,US,2021-05-25 22:35:37,22.0752,-159.319,83.19,69,1,1.99
24,Gadarwara,IN,2021-05-25 22:35:38,22.9167,78.7833,84.0,19,95,3.56
25,Butaritari,KI,2021-05-25 22:35:38,3.0707,172.7902,81.82,80,100,19.26
26,Albany,US,2021-05-25 22:34:22,42.6001,-73.9662,79.38,60,99,5.82
27,Hasaki,JP,2021-05-25 22:35:39,35.7333,140.8333,68.18,66,99,9.82
28,Baglung,NP,2021-05-25 22:32:13,28.2719,83.5898,69.31,80,98,3.62
29,Padang,ID,2021-05-25 22:35:40,-0.9492,100.3543,78.08,86,95,4.25
30,Punta Arenas,CL,2021-05-25 22:34:53,-53.15,-70.9167,35.71,80,20,13.13
31,Veraval,IN,2021-05-25 22:35:40,20.9,70.3667,82.26,80,82,15.43
32,Hermanus,ZA,2021-05-25 22:35:41,-34.4187,19.2345,57.9,74,51,7.31
33,Forrest City,US,2021-05-25 22:35:41,35.0081,-90.7898,89.46,51,5,9.6
34,Bethel,US,2021-05-25 22:31:41,41.3712,-73.414,77.65,62,1,13.8
35,Bredasdorp,ZA,2021-05-25 22:35:42,-34.5322,20.0403,52.92,76,88,5.48
36,Xuddur,SO,2021-05-25 22:35:43,4.1213,43.8894,69.4,80,9,15.77
